region,age,age_group,gender,language,education,income,response
Kyiv City,18,16-24,male,ukrainian,bachelors,<30000,stay
Luhansk,53,45-54,male,russian,post-secondary,<30000,stay
Transcarpathia,40,35-44,male,ukrainian,post-secondary,<30000,stay
Donetsk Oblast,98,65+,female,russian,masters-or-higher,<30000,flee
Sebastopol City,49,45-54,female,russian,primary,<30000,different
Vinnytsya Oblast,35,35-44,male,ukrainian,primary,<30000,flee
Mykolayiv Oblast,51,45-54,female,russian,post-secondary,<30000,stay
Vinnytsya Oblast,22,16-24,female,russian,primary,<30000,stay
Cherkasy Oblast,22,16-24,female,russian,secondary,<30000,stay
Dnipropetrovsk Oblast,22,16-24,female,ukrainian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,59,55-64,female,ukrainian,primary,<30000,flee
Kyiv City,17,16-24,female,ukrainian,bachelors,<30000,flee
Mykolayiv Oblast,23,16-24,female,russian,masters-or-higher,<30000,stay
Kyiv City,43,35-44,female,ukrainian,masters-or-higher,<30000,different
Kharkiv,53,45-54,female,russian,masters-or-higher,<30000,different
Lviv Oblast,38,35-44,male,ukrainian,secondary,<30000,stay
Cherkasy Oblast,31,25-34,female,russian,secondary,<30000,flee
Mykolayiv Oblast,37,35-44,male,ukrainian,bachelors,<30000,stay
Donetsk Oblast,31,25-34,female,russian,post-secondary,<30000,different
Dnipropetrovsk Oblast,30,25-34,male,ukrainian,post-secondary,<30000,stay
Kyiv City,98,65+,female,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,33,25-34,female,ukrainian,secondary,<30000,different
Vinnytsya Oblast,45,45-54,female,ukrainian,post-secondary,<30000,stay
Vinnytsya Oblast,63,55-64,male,ukrainian,post-secondary,<30000,stay
Luhansk,38,35-44,female,russian,masters-or-higher,<30000,different
Odessa,17,16-24,male,ukrainian,secondary,<30000,flee
Dnipropetrovsk Oblast,45,45-54,female,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,16,16-24,female,russian,secondary,<30000,stay
Cherkasy Oblast,34,25-34,female,ukrainian,masters-or-higher,<30000,stay
Kyiv City,57,55-64,male,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,16,16-24,female,russian,secondary,<30000,flee
Luhansk,43,35-44,male,russian,post-secondary,<30000,different
Dnipropetrovsk Oblast,56,55-64,female,russian,bachelors,<30000,stay
Vinnytsya Oblast,21,16-24,male,ukrainian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,18,16-24,female,russian,secondary,<30000,flee
Dnipropetrovsk Oblast,27,25-34,male,russian,masters-or-higher,<30000,stay
Mykolayiv Oblast,23,16-24,female,russian,primary,<30000,stay
Volyn,24,16-24,male,ukrainian,post-secondary,<30000,different
Kyiv City,25,25-34,female,russian,secondary,<30000,stay
Kyiv Oblast,22,16-24,male,russian,secondary,<30000,stay
Volyn,23,16-24,female,ukrainian,bachelors,<30000,different
Donetsk Oblast,18,16-24,male,russian,primary,<30000,different
Lviv Oblast,52,45-54,male,ukrainian,bachelors,<30000,flee
Kyiv City,26,25-34,male,ukrainian,bachelors,<30000,stay
Kyiv City,34,25-34,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,28,25-34,male,ukrainian,masters-or-higher,<30000,stay
Khmelnytskyi Oblast,23,16-24,male,ukrainian,bachelors,<30000,flee
Donetsk Oblast,43,35-44,female,russian,bachelors,<30000,different
Vinnytsya Oblast,18,16-24,male,russian,post-secondary,<30000,different
Kharkiv,24,16-24,male,russian,post-secondary,<30000,stay
Donetsk Oblast,54,45-54,male,russian,post-secondary,<30000,different
Dnipropetrovsk Oblast,20,16-24,female,ukrainian,secondary,<30000,stay
Kherson Oblast,98,65+,male,ukrainian,post-secondary,<30000,stay
Donetsk Oblast,27,25-34,female,russian,bachelors,<30000,different
Kyiv City,46,45-54,male,ukrainian,secondary,<30000,stay
Kyiv City,98,65+,female,ukrainian,primary,<30000,different
Khmelnytskyi Oblast,55,55-64,male,ukrainian,secondary,<30000,stay
Vinnytsya Oblast,50,45-54,female,ukrainian,secondary,<30000,different
Donetsk Oblast,20,16-24,female,russian,secondary,<30000,flee
Dnipropetrovsk Oblast,22,16-24,female,russian,bachelors,<30000,flee
Kyiv City,58,55-64,female,ukrainian,post-secondary,<30000,stay
Kyiv City,43,35-44,female,russian,secondary,<30000,stay
Kyiv City,28,25-34,male,russian,primary,<30000,flee
Vinnytsya Oblast,45,45-54,male,russian,secondary,<30000,stay
Vinnytsya Oblast,18,16-24,female,russian,secondary,<30000,different
Vinnytsya Oblast,41,35-44,male,ukrainian,post-secondary,<30000,stay
Chernihiv,40,35-44,female,ukrainian,secondary,<30000,stay
Luhansk,62,55-64,female,russian,masters-or-higher,<30000,flee
Lviv Oblast,41,35-44,male,ukrainian,bachelors,<30000,stay
Sumy,22,16-24,female,ukrainian,bachelors,<30000,different
Donetsk Oblast,63,55-64,female,russian,bachelors,<30000,flee
Dnipropetrovsk Oblast,51,45-54,male,ukrainian,masters-or-higher,<30000,stay
Vinnytsya Oblast,98,65+,male,ukrainian,bachelors,<30000,stay
Sumy,24,16-24,male,russian,bachelors,<30000,stay
Lviv Oblast,61,55-64,male,ukrainian,masters-or-higher,<30000,stay
Sumy,45,45-54,male,ukrainian,secondary,<30000,stay
Dnipropetrovsk Oblast,98,65+,female,russian,bachelors,<30000,flee
Ternopil Oblast,34,25-34,female,ukrainian,secondary,<30000,flee
Kyiv City,20,16-24,male,ukrainian,secondary,<30000,stay
Kyiv City,98,65+,female,russian,post-secondary,<30000,stay
Vinnytsya Oblast,35,35-44,male,ukrainian,bachelors,<30000,flee
Donetsk Oblast,27,25-34,female,russian,post-secondary,<30000,different
Khmelnytskyi Oblast,30,25-34,female,ukrainian,secondary,<30000,stay
Kyiv Oblast,31,25-34,male,ukrainian,primary,<30000,different
Dnipropetrovsk Oblast,45,45-54,male,ukrainian,post-secondary,<30000,stay
Transcarpathia,37,35-44,female,ukrainian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,18,16-24,male,russian,post-secondary,<30000,stay
Kherson Oblast,35,35-44,female,russian,bachelors,<30000,stay
Odessa,24,16-24,female,russian,primary,<30000,flee
Vinnytsya Oblast,18,16-24,male,ukrainian,secondary,<30000,flee
Sumy,59,55-64,male,russian,post-secondary,<30000,flee
Odessa,33,25-34,male,russian,bachelors,<30000,flee
Kyiv City,24,16-24,female,ukrainian,masters-or-higher,<30000,stay
Khmelnytskyi Oblast,16,16-24,male,ukrainian,secondary,<30000,stay
Odessa,47,45-54,male,russian,masters-or-higher,<30000,stay
Vinnytsya Oblast,38,35-44,male,ukrainian,masters-or-higher,<30000,different
Ivano-Frankivsk Oblast,33,25-34,male,ukrainian,secondary,<30000,flee
Kirovohrad Oblast,49,45-54,male,ukrainian,post-secondary,<30000,stay
Zaporizhzhya Oblast,45,45-54,male,ukrainian,masters-or-higher,<30000,stay
Mykolayiv Oblast,38,35-44,male,ukrainian,post-secondary,<30000,different
Kyiv City,54,45-54,male,ukrainian,secondary,<30000,stay
Poltava Oblast,98,65+,female,ukrainian,post-secondary,<30000,different
Donetsk Oblast,16,16-24,female,russian,secondary,<30000,flee
Cherkasy Oblast,48,45-54,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,34,25-34,male,ukrainian,bachelors,<30000,different
Mykolayiv Oblast,23,16-24,male,russian,primary,<30000,stay
Zaporizhzhya Oblast,22,16-24,male,russian,secondary,<30000,flee
Donetsk Oblast,62,55-64,male,russian,post-secondary,<30000,stay
Kyiv Oblast,48,45-54,female,russian,secondary,<30000,stay
Kyiv City,53,45-54,female,russian,post-secondary,<30000,different
Transcarpathia,62,55-64,male,ukrainian,post-secondary,<30000,stay
Ternopil Oblast,56,55-64,male,ukrainian,masters-or-higher,<30000,stay
Kharkiv,22,16-24,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,22,16-24,male,ukrainian,masters-or-higher,<30000,stay
Kirovohrad Oblast,36,35-44,male,ukrainian,primary,<30000,flee
Odessa,23,16-24,female,russian,post-secondary,<30000,different
Vinnytsya Oblast,42,35-44,male,ukrainian,post-secondary,<30000,flee
Rivne,51,45-54,male,russian,bachelors,<30000,stay
Poltava Oblast,58,55-64,male,russian,bachelors,<30000,stay
Kyiv City,23,16-24,female,ukrainian,masters-or-higher,<30000,stay
Vinnytsya Oblast,98,65+,male,ukrainian,secondary,<30000,different
Dnipropetrovsk Oblast,98,65+,male,russian,secondary,<30000,different
Kyiv City,21,16-24,female,ukrainian,masters-or-higher,<30000,stay
Kyiv Oblast,29,25-34,male,ukrainian,secondary,<30000,flee
Donetsk Oblast,50,45-54,male,ukrainian,post-secondary,<30000,stay
Volyn,28,25-34,male,russian,secondary,<30000,stay
Dnipropetrovsk Oblast,28,25-34,male,ukrainian,secondary,<30000,flee
Kirovohrad Oblast,27,25-34,male,ukrainian,bachelors,<30000,stay
Kyiv City,17,16-24,male,ukrainian,masters-or-higher,<30000,flee
Odessa,98,65+,male,russian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,24,16-24,male,russian,post-secondary,<30000,flee
Poltava Oblast,16,16-24,female,ukrainian,primary,<30000,stay
Vinnytsya Oblast,55,55-64,male,russian,post-secondary,<30000,flee
Kherson Oblast,19,16-24,male,russian,primary,<30000,flee
Chernihiv,35,35-44,male,russian,primary,<30000,flee
Vinnytsya Oblast,38,35-44,male,ukrainian,secondary,<30000,stay
Kirovohrad Oblast,30,25-34,female,ukrainian,secondary,<30000,stay
Kherson Oblast,43,35-44,female,russian,secondary,<30000,stay
Mykolayiv Oblast,20,16-24,male,ukrainian,secondary,<30000,stay
Kyiv City,20,16-24,female,ukrainian,post-secondary,<30000,stay
Kyiv City,30,25-34,male,russian,masters-or-higher,<30000,flee
Ivano-Frankivsk Oblast,33,25-34,male,ukrainian,bachelors,<30000,flee
Kharkiv,42,35-44,male,russian,post-secondary,<30000,stay
Kyiv City,43,35-44,male,russian,primary,<30000,stay
Kyiv City,98,65+,male,ukrainian,masters-or-higher,<30000,different
Lviv Oblast,21,16-24,female,ukrainian,bachelors,<30000,flee
Kyiv Oblast,22,16-24,female,russian,bachelors,<30000,stay
Kirovohrad Oblast,25,25-34,male,ukrainian,masters-or-higher,<30000,different
Kyiv City,28,25-34,male,ukrainian,bachelors,<30000,stay
Rivne,40,35-44,male,ukrainian,secondary,<30000,stay
Kyiv City,27,25-34,female,russian,primary,<30000,different
Odessa,19,16-24,male,russian,secondary,<30000,flee
Rivne,18,16-24,male,ukrainian,masters-or-higher,<30000,flee
Zaporizhzhya Oblast,42,35-44,female,ukrainian,masters-or-higher,<30000,stay
Zaporizhzhya Oblast,61,55-64,male,russian,post-secondary,<30000,stay
Kyiv City,25,25-34,male,russian,primary,<30000,flee
Kharkiv,98,65+,female,russian,post-secondary,<30000,different
Kyiv City,34,25-34,female,ukrainian,secondary,<30000,stay
Dnipropetrovsk Oblast,40,35-44,male,russian,bachelors,<30000,flee
Kyiv City,25,25-34,male,ukrainian,post-secondary,<30000,different
Kyiv Oblast,46,45-54,female,ukrainian,secondary,<30000,flee
Kyiv City,17,16-24,male,ukrainian,primary,<30000,stay
Kyiv City,18,16-24,male,ukrainian,secondary,<30000,stay
Kyiv City,46,45-54,male,ukrainian,bachelors,<30000,stay
Dnipropetrovsk Oblast,20,16-24,female,russian,post-secondary,<30000,flee
Sumy,98,65+,male,ukrainian,masters-or-higher,<30000,different
Sebastopol City,64,55-64,male,russian,masters-or-higher,<30000,different
Vinnytsya Oblast,20,16-24,male,russian,bachelors,<30000,stay
Vinnytsya Oblast,22,16-24,female,ukrainian,post-secondary,<30000,stay
Poltava Oblast,23,16-24,male,ukrainian,masters-or-higher,<30000,flee
Lviv Oblast,27,25-34,female,russian,post-secondary,<30000,stay
Donetsk Oblast,18,16-24,male,russian,masters-or-higher,<30000,flee
Kyiv City,39,35-44,male,ukrainian,masters-or-higher,<30000,different
Transcarpathia,31,25-34,female,ukrainian,masters-or-higher,<30000,different
Donetsk Oblast,98,65+,male,russian,post-secondary,<30000,different
Vinnytsya Oblast,24,16-24,male,ukrainian,bachelors,<30000,flee
Kirovohrad Oblast,27,25-34,female,ukrainian,post-secondary,<30000,flee
Kyiv City,17,16-24,female,ukrainian,primary,<30000,stay
Poltava Oblast,52,45-54,female,ukrainian,masters-or-higher,<30000,stay
Kirovohrad Oblast,53,45-54,male,ukrainian,secondary,<30000,different
Kyiv City,57,55-64,male,ukrainian,post-secondary,<30000,different
Kyiv City,17,16-24,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Rivne,18,16-24,male,ukrainian,post-secondary,<30000,flee
Luhansk,44,35-44,male,russian,bachelors,<30000,different
Kyiv City,20,16-24,male,russian,primary,<30000,stay
Kyiv City,98,65+,male,russian,masters-or-higher,<30000,stay
Zaporizhzhya Oblast,34,25-34,male,ukrainian,bachelors,<30000,flee
Donetsk Oblast,48,45-54,male,russian,secondary,<30000,different
Odessa,23,16-24,female,ukrainian,masters-or-higher,<30000,different
Cherkasy Oblast,38,35-44,male,ukrainian,secondary,<30000,stay
Donetsk Oblast,20,16-24,male,russian,post-secondary,<30000,different
Kyiv City,18,16-24,male,russian,secondary,<30000,flee
Kyiv City,50,45-54,male,russian,post-secondary,<30000,stay
Crimea,28,25-34,male,russian,primary,<30000,flee
Volyn,30,25-34,male,ukrainian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,21,16-24,male,ukrainian,bachelors,<30000,stay
Odessa,21,16-24,female,ukrainian,secondary,<30000,different
Odessa,16,16-24,female,ukrainian,post-secondary,<30000,different
Transcarpathia,31,25-34,male,russian,bachelors,<30000,different
Vinnytsya Oblast,41,35-44,female,ukrainian,masters-or-higher,<30000,stay
Vinnytsya Oblast,48,45-54,male,ukrainian,secondary,<30000,stay
Transcarpathia,23,16-24,male,russian,bachelors,<30000,flee
Luhansk,37,35-44,female,russian,secondary,<30000,stay
Vinnytsya Oblast,38,35-44,male,ukrainian,secondary,<30000,different
Kyiv City,45,45-54,male,ukrainian,bachelors,<30000,stay
Ternopil Oblast,26,25-34,female,ukrainian,primary,<30000,stay
Vinnytsya Oblast,49,45-54,male,ukrainian,post-secondary,<30000,different
Odessa,22,16-24,male,russian,secondary,<30000,stay
Lviv Oblast,19,16-24,female,ukrainian,bachelors,<30000,stay
Sumy,20,16-24,female,russian,secondary,<30000,flee
Vinnytsya Oblast,20,16-24,female,ukrainian,post-secondary,<30000,flee
Cherkasy Oblast,21,16-24,female,ukrainian,primary,<30000,stay
Kyiv Oblast,19,16-24,male,russian,primary,<30000,stay
Odessa,45,45-54,male,russian,secondary,<30000,flee
Dnipropetrovsk Oblast,24,16-24,female,ukrainian,masters-or-higher,<30000,different
Kharkiv,45,45-54,male,russian,bachelors,<30000,stay
Donetsk Oblast,56,55-64,male,russian,post-secondary,<30000,different
Chernivtsi Oblast,98,65+,male,ukrainian,primary,<30000,flee
Lviv Oblast,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Kyiv City,22,16-24,male,ukrainian,post-secondary,<30000,different
Donetsk Oblast,64,55-64,male,russian,primary,<30000,stay
Lviv Oblast,59,55-64,male,russian,masters-or-higher,<30000,stay
Odessa,36,35-44,male,russian,secondary,<30000,flee
Kyiv Oblast,35,35-44,male,ukrainian,primary,<30000,flee
Luhansk,24,16-24,female,russian,secondary,<30000,different
Donetsk Oblast,30,25-34,female,ukrainian,secondary,<30000,different
Kyiv City,26,25-34,male,russian,primary,<30000,flee
Kyiv Oblast,52,45-54,female,ukrainian,post-secondary,<30000,stay
Kyiv City,37,35-44,male,russian,masters-or-higher,<30000,different
Odessa,18,16-24,male,ukrainian,primary,<30000,flee
Kyiv Oblast,25,25-34,female,ukrainian,primary,<30000,stay
Odessa,18,16-24,male,ukrainian,secondary,<30000,stay
Rivne,19,16-24,female,ukrainian,secondary,<30000,different
Kyiv Oblast,18,16-24,female,ukrainian,post-secondary,<30000,stay
Luhansk,31,25-34,female,russian,bachelors,<30000,stay
Luhansk,27,25-34,female,russian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,39,35-44,male,russian,secondary,<30000,stay
Zhytomyr,43,35-44,male,russian,post-secondary,<30000,stay
Vinnytsya Oblast,63,55-64,male,ukrainian,secondary,<30000,stay
Kherson Oblast,98,65+,male,russian,post-secondary,<30000,different
Dnipropetrovsk Oblast,30,25-34,male,russian,secondary,<30000,stay
Cherkasy Oblast,22,16-24,male,russian,bachelors,<30000,flee
Luhansk,21,16-24,female,ukrainian,bachelors,<30000,different
Dnipropetrovsk Oblast,23,16-24,female,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,52,45-54,female,russian,post-secondary,<30000,flee
Ivano-Frankivsk Oblast,32,25-34,female,russian,primary,<30000,stay
Vinnytsya Oblast,30,25-34,female,ukrainian,masters-or-higher,<30000,stay
Kharkiv,43,35-44,female,ukrainian,masters-or-higher,<30000,stay
Chernivtsi Oblast,62,55-64,male,ukrainian,post-secondary,<30000,stay
Sumy,63,55-64,female,ukrainian,post-secondary,<30000,different
Dnipropetrovsk Oblast,50,45-54,male,russian,post-secondary,<30000,stay
Khmelnytskyi Oblast,62,55-64,female,russian,secondary,<30000,stay
Kyiv City,98,65+,female,russian,post-secondary,<30000,different
Chernivtsi Oblast,16,16-24,male,ukrainian,secondary,<30000,different
Vinnytsya Oblast,98,65+,male,russian,masters-or-higher,<30000,flee
Ternopil Oblast,18,16-24,female,ukrainian,secondary,<30000,flee
Kyiv City,21,16-24,male,russian,primary,<30000,stay
Cherkasy Oblast,47,45-54,male,ukrainian,secondary,<30000,stay
Mykolayiv Oblast,98,65+,male,russian,secondary,<30000,stay
Chernivtsi Oblast,18,16-24,female,ukrainian,secondary,<30000,different
Kharkiv,46,45-54,female,ukrainian,bachelors,<30000,stay
Ivano-Frankivsk Oblast,18,16-24,male,ukrainian,primary,<30000,stay
Khmelnytskyi Oblast,25,25-34,male,russian,bachelors,<30000,stay
Mykolayiv Oblast,17,16-24,male,ukrainian,primary,<30000,stay
Kyiv City,47,45-54,male,ukrainian,masters-or-higher,<30000,flee
Chernivtsi Oblast,34,25-34,female,ukrainian,masters-or-higher,<30000,different
Dnipropetrovsk Oblast,16,16-24,female,russian,bachelors,<30000,flee
Sumy,35,35-44,male,ukrainian,post-secondary,<30000,flee
Kyiv City,33,25-34,male,russian,post-secondary,<30000,flee
Donetsk Oblast,98,65+,male,russian,secondary,<30000,flee
Kharkiv,50,45-54,male,ukrainian,bachelors,<30000,stay
Kyiv City,17,16-24,female,ukrainian,primary,<30000,flee
Kyiv Oblast,20,16-24,female,ukrainian,secondary,<30000,different
Rivne,34,25-34,male,ukrainian,secondary,<30000,stay
Mykolayiv Oblast,22,16-24,male,russian,post-secondary,<30000,different
Kyiv City,45,45-54,female,russian,secondary,<30000,different
Lviv Oblast,18,16-24,female,ukrainian,secondary,<30000,stay
Donetsk Oblast,98,65+,female,ukrainian,primary,<30000,different
Chernihiv,23,16-24,female,ukrainian,masters-or-higher,<30000,different
Crimea,59,55-64,male,ukrainian,masters-or-higher,<30000,different
Ivano-Frankivsk Oblast,44,35-44,male,ukrainian,post-secondary,<30000,stay
Donetsk Oblast,52,45-54,male,russian,post-secondary,<30000,different
Zaporizhzhya Oblast,38,35-44,male,russian,post-secondary,<30000,stay
Mykolayiv Oblast,16,16-24,male,ukrainian,post-secondary,<30000,flee
Kyiv City,49,45-54,male,ukrainian,secondary,<30000,different
Kyiv City,50,45-54,male,russian,masters-or-higher,<30000,stay
Vinnytsya Oblast,46,45-54,female,russian,secondary,<30000,stay
Cherkasy Oblast,35,35-44,female,ukrainian,masters-or-higher,<30000,different
Kyiv City,53,45-54,male,russian,secondary,<30000,stay
Chernihiv,33,25-34,male,ukrainian,secondary,<30000,stay
Kyiv Oblast,29,25-34,male,ukrainian,secondary,<30000,stay
Odessa,19,16-24,male,russian,secondary,<30000,different
Kyiv City,30,25-34,female,ukrainian,bachelors,<30000,stay
Volyn,27,25-34,female,ukrainian,masters-or-higher,<30000,flee
Sumy,98,65+,male,russian,masters-or-higher,<30000,stay
Kyiv City,98,65+,male,russian,post-secondary,<30000,stay
Vinnytsya Oblast,26,25-34,male,ukrainian,secondary,<30000,stay
Odessa,26,25-34,male,ukrainian,bachelors,<30000,different
Zaporizhzhya Oblast,23,16-24,male,ukrainian,secondary,<30000,flee
Ivano-Frankivsk Oblast,18,16-24,male,ukrainian,secondary,<30000,stay
Vinnytsya Oblast,22,16-24,male,ukrainian,secondary,<30000,different
Kirovohrad Oblast,64,55-64,female,russian,masters-or-higher,<30000,stay
Lviv Oblast,41,35-44,female,ukrainian,masters-or-higher,<30000,stay
Chernivtsi Oblast,35,35-44,female,ukrainian,masters-or-higher,<30000,stay
Volyn,62,55-64,male,russian,secondary,<30000,stay
Donetsk Oblast,53,45-54,male,russian,post-secondary,<30000,different
Kharkiv,22,16-24,male,ukrainian,bachelors,<30000,stay
Vinnytsya Oblast,22,16-24,female,ukrainian,bachelors,<30000,flee
Kyiv City,18,16-24,male,ukrainian,secondary,<30000,stay
Zaporizhzhya Oblast,26,25-34,female,russian,bachelors,<30000,flee
Sumy,16,16-24,male,russian,primary,<30000,stay
Sumy,98,65+,male,ukrainian,bachelors,<30000,stay
Chernivtsi Oblast,49,45-54,male,russian,post-secondary,<30000,flee
Cherkasy Oblast,35,35-44,male,russian,primary,<30000,flee
Donetsk Oblast,27,25-34,female,russian,secondary,<30000,different
Zaporizhzhya Oblast,34,25-34,male,russian,primary,<30000,stay
Kyiv Oblast,52,45-54,male,ukrainian,primary,<30000,stay
Chernihiv,18,16-24,female,ukrainian,secondary,<30000,flee
Lviv Oblast,19,16-24,female,ukrainian,primary,<30000,different
Mykolayiv Oblast,42,35-44,male,russian,post-secondary,<30000,different
Kyiv City,17,16-24,female,ukrainian,bachelors,<30000,different
Kyiv City,19,16-24,female,russian,post-secondary,<30000,different
Khmelnytskyi Oblast,20,16-24,male,ukrainian,post-secondary,<30000,flee
Poltava Oblast,45,45-54,female,ukrainian,secondary,<30000,flee
Cherkasy Oblast,35,35-44,male,ukrainian,secondary,<30000,stay
Chernihiv,16,16-24,male,ukrainian,primary,<30000,flee
Kyiv Oblast,19,16-24,male,ukrainian,post-secondary,<30000,different
Odessa,21,16-24,female,russian,bachelors,<30000,different
Kyiv Oblast,62,55-64,male,russian,masters-or-higher,<30000,different
Kyiv City,37,35-44,female,russian,masters-or-higher,<30000,different
Kirovohrad Oblast,56,55-64,male,russian,masters-or-higher,<30000,stay
Zhytomyr,35,35-44,male,ukrainian,masters-or-higher,<30000,different
Kirovohrad Oblast,18,16-24,male,ukrainian,secondary,<30000,stay
Odessa,32,25-34,male,ukrainian,post-secondary,<30000,stay
Zaporizhzhya Oblast,19,16-24,male,russian,primary,<30000,stay
Khmelnytskyi Oblast,32,25-34,male,ukrainian,post-secondary,<30000,different
Rivne,23,16-24,male,ukrainian,post-secondary,<30000,stay
Donetsk Oblast,17,16-24,male,russian,primary,<30000,flee
Ivano-Frankivsk Oblast,25,25-34,male,ukrainian,primary,<30000,flee
Dnipropetrovsk Oblast,39,35-44,male,russian,primary,<30000,stay
Donetsk Oblast,18,16-24,male,russian,secondary,<30000,different
Odessa,50,45-54,male,russian,post-secondary,<30000,flee
Kherson Oblast,40,35-44,male,russian,post-secondary,<30000,stay
Odessa,98,65+,male,russian,post-secondary,<30000,flee
Mykolayiv Oblast,38,35-44,male,ukrainian,secondary,<30000,stay
Ternopil Oblast,46,45-54,male,ukrainian,primary,<30000,flee
Lviv Oblast,36,35-44,female,ukrainian,post-secondary,<30000,flee
Transcarpathia,42,35-44,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,17,16-24,female,ukrainian,secondary,<30000,different
Sebastopol City,34,25-34,female,russian,masters-or-higher,<30000,flee
Dnipropetrovsk Oblast,19,16-24,female,russian,post-secondary,<30000,different
Kyiv City,18,16-24,female,ukrainian,post-secondary,<30000,flee
Lviv Oblast,33,25-34,female,ukrainian,primary,<30000,flee
Lviv Oblast,16,16-24,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,38,35-44,female,ukrainian,post-secondary,<30000,stay
Odessa,55,55-64,female,ukrainian,secondary,<30000,stay
Odessa,30,25-34,female,russian,masters-or-higher,<30000,stay
Transcarpathia,16,16-24,male,ukrainian,primary,<30000,stay
Donetsk Oblast,26,25-34,female,russian,primary,<30000,flee
Poltava Oblast,16,16-24,female,ukrainian,secondary,<30000,stay
Sebastopol City,22,16-24,female,russian,bachelors,<30000,different
Dnipropetrovsk Oblast,35,35-44,male,ukrainian,bachelors,<30000,stay
Lviv Oblast,21,16-24,male,ukrainian,bachelors,<30000,stay
Donetsk Oblast,36,35-44,female,russian,bachelors,<30000,flee
Kyiv City,49,45-54,male,ukrainian,primary,<30000,stay
Khmelnytskyi Oblast,20,16-24,male,ukrainian,secondary,<30000,different
Vinnytsya Oblast,26,25-34,male,ukrainian,masters-or-higher,<30000,flee
Ternopil Oblast,37,35-44,male,ukrainian,secondary,<30000,flee
Ternopil Oblast,17,16-24,female,ukrainian,secondary,<30000,stay
Odessa,39,35-44,male,russian,bachelors,<30000,different
